workspace_id,name,department,executive_sponsor,submitted_by,contact_email,description,driver,value,users,align,justif,maturity,spend,volume,pain,tools,sources,dataavail,integrations,realtime,technotes,sensitivity,autonomy,pii,audit,adoption,change,delivery,addnotes,stage,status,delivered_at
,Unified Brand Health Listening Reasoning Agent,Marketing,CTO,HR Digital Team,askhr@intel.com,Creating a master reasoning agent across all four listening ecosystems for holistic view of brand health accessible via LLM for GMC.,Employee experience + cost-to-serve,60-70% helpdesk deflection,"110,000 employees",Enterprise self-service (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Manual HR helpdesk + ticketing,"$12,000,000/yr","42,000 tickets/mo",High manual effort,HCM ticketing system,"HCM, policy docs, benefits KB",Readily available & clean,Gemini for Google Workspace; Agentspace,No,Native connectors; low complexity,Medium,Advisory,TRUE,Yes,High,Low,Adopt (start simple),PII redaction layer verified before GA,intake,,
,Commercial Marketing Performance Reasoning Self-Service Agent,Sales,CEO,Procurement Analytics,procurement@intel.com,Converting all commercial marketing performance data from traditional dashboard into a full agentic reasoning agent for better self-service across GMC,Margin recovery,2-5% contract value recovered,Procurement + AP,Margin recovery (top AI priority),Est. annual value $22M; currently <5% of contracts audited,Manual spot-audit of contracts vs POs,"$4,000,000/yr",<5% of contracts covered,Very high manual effort,ERP + spreadsheets,"ERP POs/invoices, contract repository",Available across systems,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,No (batch + API),Cross-system reconciliation; medium complexity,High,Supervised,FALSE,Yes,Medium,Medium,Extend (scale smart),Human approval on all recovery actions; SOX control sign-off,intake,,
,GenAI Intel.com Search and Case Deflection,Sales,CTO,Supply Chain Planning,supplychain@intel.com,GenAI-powered Intel.com search and Search Before Submit capability to improve customer self-service and support case deflection.,Working capital + service level,15-25% inventory reduction,Planning org,Supply-chain resilience (top AI priority),Est. annual value $35M; baseline forecast MAPE ~28%,Statistical forecast in planning suite,"$6,000,000/yr",Enterprise IBP demand plan,High manual effort; low accuracy,Integrated business planning suite,"IBP demand history, external signals, BigQuery",Available; external ingestion effort,Vertex AI Forecasting + BigQuery ML,Yes (API + streaming),Custom forecasting models; high complexity,Medium,Supervised,FALSE,Yes,Medium,Medium,Build (engineer it),Phase-1 pilot on two product lines; go/no-go on measured MAPE lift,intake,,
,Governed Executive Communications Content Creation Agent,Supply Chain,CHRO,Reliability Engineering,reliability@intel.com,"AI-powered executive communications agent enabling scalable creation of executive content aligned to leader voice, messaging strategy, and governance standards.",Uptime + OEE,25-40% unplanned downtime reduction,Maintenance + Ops,Asset uptime (top AI priority),Est. annual value $48M; baseline 6.2% unplanned downtime,Time-based preventive maintenance,"$9,000,000/yr",Fleet-wide equipment,High manual effort; reactive,CMMS + preventive schedules,"IoT sensors (Pub/Sub), maintenance history",Available; sensor data quality varies,Vertex AI + Pub/Sub + BigQuery + Cloud Functions,Yes (streaming),Predictive models on streaming IoT; high complexity,Medium,Supervised,FALSE,Yes,Medium,Medium,Build (engineer it),Supervisor approval on auto work orders until precision >90% on pilot line,intake,,
,Synthetic Persona Customer and Market Insights,Data Center Group,CHRO,Quality Engineering,quality@intel.com,AI-powered customer insights platform that uses synthetic personas and interview data to rapidly generate market and messaging insights for product and campaign decisions.,Yield + scrap cost,20-35% scrap/rework reduction,Quality + Production,Yield/quality (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Post-hoc inspection + manual RCA,"$7,500,000/yr",All production batches,High manual effort; late detection,QM inspection + MES,"QM inspection, MES process params, BigQuery",Available; MES integration effort,Vertex AI + BigQuery ML + Looker,Yes (batch + streaming),Defect prediction + RCA models; high complexity,Medium,Advisory,FALSE,Yes,Medium,Medium,Build (engineer it),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,Unified Opex and Contra Budget Management,Finance,CFO,Quality Engineering,ap-automation@intel.com,"Agentically unifying the Opex and Contra budgets within a similar taxonomy for simpler management, updates, and communication for strategic alignment",Cost-to-serve + cycle time,85% touchless match rate,600 AP + procurement staff,Finance operational excellence,Realized $4.1M annual savings; 9-day â†’ 2-day cycle,Delivered â€” live in production,"$5,200,000/yr (pre-automation)",1.2M invoices/yr,Manual matching backlog,ERP + legacy OCR,"ERP, supplier portal, PO/GRN tables",Readily available & clean,Document AI; BigQuery; ERP connector,No,Delivered on Document AI + reconciliation service,Medium,Automated w/ exception review,TRUE,Yes,High,Low,Build (engineer it),Delivered example row â€” shows how to mark a completed use case.,panel,completed,3/15/2026
,Automated Intel.com Content Publishing Operations Platform,Supply Chain,CEO,Procurement Analytics,reliability@intel.com,"AI-assisted publishing automation platform for Intel.com content operations, reducing manual content authoring, metadata management, page creation, and quality assurance activities to accelerate content delivery.",Employee experience + cost-to-serve,25-40% unplanned downtime reduction,600 AP + procurement staff,Asset uptime (top AI priority),Est. annual value $22M; currently <5% of contracts audited,Manual HR helpdesk + ticketing,"$12,000,000/yr",<5% of contracts covered,High manual effort; low accuracy,HCM ticketing system,"ERP POs/invoices, contract repository",Available; MES integration effort,Vertex AI + BigQuery ML + Looker,No,Native connectors; low complexity,Medium,Advisory,TRUE,Yes,Medium,Medium,Build (engineer it),Human approval on all recovery actions; SOX control sign-off,intake,,
,Composable AI Marketing Transformation and Workflows,Sales,CHRO,Procurement Analytics,askhr@intel.com,"* AI Marketing Transformation - Composable, CDP, Workflows",Cost-to-serve + cycle time,25-40% unplanned downtime reduction,Quality + Production,Yield/quality (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Manual spot-audit of contracts vs POs,"$9,000,000/yr",All production batches,High manual effort; reactive,QM inspection + MES,"QM inspection, MES process params, BigQuery",Readily available & clean,AppSheet / Agentspace + Vertex AI + Document AI + BigQuery,No (batch + API),Predictive models on streaming IoT; high complexity,High,Supervised,TRUE,Yes,High,Low,Adopt (start simple),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,Marketing Investment Measurement Forecasting and Optimization,IT,CFO,Procurement Analytics,supplychain@intel.com,"The primary measurement, forecasting, and optimization platform supporting commercial marketing investment decisions across Contra and Opex spend.",Uptime + OEE,60-70% helpdesk deflection,Planning org,Asset uptime (top AI priority),Est. annual value $40M; baseline scrap 3.8%,Statistical forecast in planning suite,"$6,000,000/yr",Fleet-wide equipment,High manual effort; reactive,Integrated business planning suite,"IBP demand history, external signals, BigQuery",Available across systems,Vertex AI + BigQuery ML + Looker,Yes (API + streaming),Predictive models on streaming IoT; high complexity,Medium,Supervised,FALSE,Yes,Medium,Low,Build (engineer it),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
,Marketing Investment Measurement Forecasting and Optimization 2,Finance,CFO,Supply Chain Planning,supplychain@intel.com,"The primary measurement, forecasting, and optimization platform supporting commercial marketing investment decisions across Contra and Opex spend.",Margin recovery,25-40% unplanned downtime reduction,Maintenance + Ops,Yield/quality (top AI priority),Est. annual value $8.5M; 42k monthly tickets deflected,Post-hoc inspection + manual RCA,"$4,000,000/yr",1.2M invoices/yr,High manual effort; low accuracy,HCM ticketing system,"QM inspection, MES process params, BigQuery",Available across systems,Vertex AI + BigQuery ML + Looker,No (batch + API),Delivered on Document AI + reconciliation service,Medium,Supervised,FALSE,Yes,High,Low,Build (engineer it),Advisory-only phase 1; no automated batch holds until 3 months ground-truth validation,intake,,
